Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Kostanti Kaxay,კოსტანტი [ḳosanti],The Life and Passion of Konstanti-Kaxay,9th,,V,"НЦРГ. A 130. Л. 81-85, 1713 г.; А 170. Л. 49-51, 1733 г.; Н 2077, Л. 49-51, 1736 г.; Н 1672. Л. 341-348, 1740 г.; А 176. Л. 72-77, 1743 г.; Н 2121. Л. 66-70, 1748 г.; S 3637. Л. 38-39, 1838 г.; КЦ. 1973. Т. 4. С. 130; Цагареишвили. 2012. С. 145-163; Житие и мученичество. 1978. С. 15- 16","martyr Kostanti Kaxay, saint"
Queen Theodora,თეოდორა [t'eodora],The Life and Passion of Konstanti-Kaxay,9th,,V,"Minorsky. 1958. P. 110. n. 2; ПДГАЛ. 1963. Т. 1. С. 172; Житие и мученичество. 1978. С. 79; Вачнадзе, Куция. 1998. С. 154-158","Queen Theodora, Byzantine Empress"
Michael III,მიქაელ [mikael],The Life and Passion of Konstanti-Kaxay,9th,,V,,"Michael III, Byzantine Emperor son of Theodora"
Bugha,ბუღა [buĝa],The Life and Passion of Konstanti-Kaxay,9th,,V,ПДГАЛ. 1963. Т. 1. С. 167; Житие и мученичество. 1978. С. 70,"Bugha, the ruler of Tb'ilisi, Bugha - al-Kabir"
Ja'par son of Abraham,ჵაფარ ძც აბრაჰამსა [jap'ar jc̣ʿ abrahansa],The Life and Passion of Konstanti-Kaxay,9th,,V,"Vach’nadze and Kuc’ia, C’xorebay, p.102, n. 54.","Ja'par son of Abraham, the king of the Ishamaelites"
Ishaq ibn Ismail,,The Life and Passion of Konstanti-Kaxay,9th,,V,,"The amir Sahak , ""amir before Bugha"" (there is no name in the text, the person is called only this way), Ismail ibn Shuab"
Djafar al-Mutawakkil,,The Life and Passion of Konstanti-Kaxay,9th,,V,"Ter Ghewondyan, Arab Emirates, p.41; Иоанн Драсханакертели. 1965. С. 13","Djafar al-Muеawakkil, ruled in Caliph 847-861"
Nerses,ნერსე [nerse],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Adarnerse,ადრნესე [adrnese],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Abdulla,აბდილა [abdila],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Mahdi,მაჰდი [mahdi],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Habo,ჰაბო [habo],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Stephen,სტეფანოზ [step’anoz],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Gurgen,გურგენ [gurgen],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Mousa ,მოსე [mose],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Samuel,სამოელ [samoel],Martyrium Habo Tphilisensis,8th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 115-134",
Shushanik,შუშანიკ [šušanik],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Varsken,ვარსქენ [varsk’en],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Arshusha,არშუშა [aršuša],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Varden,ვარდან [vardan],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Aphots,აფოც [ap’oc’],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Jojik,ჯოჯიკ [jojik],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Samuel,სამოელ [samoel],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
John,იოვანე [iovane],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Cosma,კოზმა  [kozma],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Damian,დამიან [damian],Martyrium Susanicae,5th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 44-56",
Gregory,გრიგოლ [grigol],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Gregory of Khandzta
Gregory,გრიგოლ [grigol],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbot of Shatberdi
Gregory,გრიგოლ [grigol],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Gregory of Nazianzus
Gregory,გრიგოლ [grigol],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",elder and miracle worker
Nerses,ნერსე [nerse],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Nerse of Iberia 
Nerses,ნერსე [nerse],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",catholicos
Saba,საბა [saba],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","Saba, cousin of Gregory, bishop of Ishkhan"
Saban,საბან [saban],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","another name of Saba, cousin of Gregory, bishop of Ishkhan"
Theodore,თევდორე [t’evdore],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Theodore Nedzveli
Christopher,ქრისტეფორე [k’ristop’ore],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",builder and abbot of Kviriketi
George,გიორგი [giorgi],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",third abbot of Opiza
Samuel,სამოელ [samoel],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",first (?) abbot of Opiza
Andrew,ანდრია [andria],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",second (?) abbot of Opiza
Khuedios,ჴუედიოს [h̭uedios],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",hermit
Ashot,აშოტ [ašot],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","kouropalates, son of king Adarnerse "
Ashot,აშოტ [ašot],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Gurgen the kouropalates
Gabriel,გაბრიელ [gabriel],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Gabriel Dapanchuli
Gabriel,გაბრიელ [gabriel],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","teacher, monk of Khandzta"
Theodore,თევდორე [t’evdore],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbot of Khandzta
George,გიორგი [giorgi],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",bishop of Atskuri
George,გიორგი [giorgi],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","king of Abkhazia, son of Constantine"
George,გიორგი [giorgi],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Giorgi Merchule
George,გიორგი [giorgi],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Saint George of Lydda
Patrick,პატრიკ [patrik],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Gabriel Dapanchuli
Guaram,გუარამ [guaram],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Gabriel Dapanchuli
Arshusha,არშუშა [aršuša],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Gabriel Dapanchuli
Abulasath,აბულ-ასათ [abul-asat’],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Gabriel Dapanchuli
Fevronia,ფებრონია [p’ebronia],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbess of the convent of Mere
Adarnerse,ადარნერსე [adarnerse],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","kouropalates, son of Ashot the kouropalates "
Adarnerse,ადარნერსე [adarnerse],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","king Adarnerse, father of Ashot the kouropalates"
Adarnerse,ადარნერსე [adarnerse],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","magister, son of Bagrat the magister"
Bagrat,ბაგრატ [bagrat],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","kouropalates, son of Ashot the kouropalates"
Guaram,გუარამ [guaram],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","mamphal, son of Ashot the kouropalates"
Matoi,მატოი [matoi],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153", 
Zenon ,ზენონ [zenon],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",hermit
David ,დავით [davit’],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Bagrat the kouropalates
David ,დავით [davit’],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",mamphal
David ,დავით [davit’],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbot of Midznadzoro
Arsenius,არსენი [arseni],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Arsenius the Great
Arsenius,არსენი [arseni],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",catholicos
Arsenius,არსენი [arseni],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbot of Khandzta
Arsenius,არსენი [arseni],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",monk in Jerusalem
Demetre,დემეტრე [demetre],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",king of Abkhazia
Ephrem,ეფრემ [ep’rem],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",metropolitan of atskur
Ephrem,ეფრემ [ep’rem],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Ephrem the Syrian
Dimitrios,დიმიტრიოს [dimitrios],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",monk
Bagrat,ბაგრატ [bagrat],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Adarnerse the kouropalates
Bagrat,ბაგრატ [bagrat],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",magister
Bagrat,ბაგრატ [bagrat],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",martyr
Bagrat,ბაგრატ [bagrat],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",king of Abkhazia
Guaram,გუარამ [guaram],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of Gabriel Dapanchuli
Zakharia,ზაქარია [zak’aria],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",bishop of Ancha
Zakharia,ზაქარია [zak’aria],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",builder of Baretelta
Hilarion,ილარიონ [ilarion],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbot of Ubisi
Hilarion,ილარიონ [ilarion],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",catholicos
Hilarion,ილარიონ [ilarion],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Hilarion Parekheli
Gurgen,გურგენ [gurgen],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","kouropalates, son of Adarnerse, grandson of Ashot the kouropalates"
Gurgen,გურგენ [gurgen],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","nephew of Ashot the kouropalates, grandson of Gurgen the kouropalates"
Amona,ამონა [amona],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",builder
Jibril,ჯიბრილ [jibril],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","brother of Iovane, abbot of Khandzta"
Iovane,იოვანე [iovane],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","brother of Jibril, abbot of Khandzta after Arsen"
Iovane,იოვანე [iovane],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","brother of one of Khandzta abbots, coathor of Life of Gregory of Khandzta "
Iovane,იოვანე [iovane],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",martyr
Basil ,ბასილი [basili],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbot of Khandzta
Basil ,ბასილი [basili],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",monk of Parekhi
Laban,ლავან [lavan],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",bishop of Ishkhani
Mikel,მიქელ [mik’el],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",hermit of Parekhi
Mikel,მიქელ [mik’el],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",catholikos
Jacob,იაკობ [iakob],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",
Temestia,თემესტია [t ̓emestia],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",deaconess
Anatole,ანატოლე [anatole],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",nun
Antonios,ანტონიოს [antonios],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",another name of Anatole the nun
Mirean ,მირეან [mirean],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","bishop, father of Arsen the catholicos"
Epiphanios,ეპიფანე [epipane],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",abbot of Khandzta 
Sophronius,სოფრონ [sop ̓ron],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Sophronius the Great
Stephane,სტეფანე [step ̓ane],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",bishop of Tbeti
Anastasia,ანასტასია [anastasia],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",wife of king Adarnerse
Sumbat,სუმბატ [sumbat],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",son of king Adarnerse
Makarius,მაკარი [makari],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",monk in Jerusalem
Makarius,მაკარი [makari],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",Makarius of Opiza
Makarius,მაკარი [makari],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",bishop of Ancha
Mariam,მარიამ [mariam],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",wife of Gabriel Dapanchuli
Gvedia Euphrosyne,გვედია ეფროსინე [gvedia ep ̓rosine],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",
Sahak,საჰაკ [sahak],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",amir of Tbilisi
Ezra,ეზრა [ezra],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153","Ezra Dapanchuli, bishop of Anch"
Constantine,კოსტანტი [konstanti],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",king of Abkhazia
Liparit,ლიპარიტ [liparit],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",father of Grigol (abbot of Shatberdi)
Certa,წერტა [certa],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",
Kupra,კუპრა [kupra],Vita Gregorii Chandztensis ,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 134-153",servant of the king Adarnerse
David,დავოთ [davit ̓],Vita David Garesdzensis,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 8-93",David Garejeli
Lucian ,ლუკიანე [lukiane],Vita David Garesdzensis,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 8-93",disciple of David Garejeli
Antony,ანტონი [antoni],Vita David Garesdzensis,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 81-93",saint
Elias,ელია [elia],Vita David Garesdzensis,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 81-93",patriatch of Jerusalem
Dodo,დოდო [dodo],Vita David Garesdzensis,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 81-93",monk
Hilarion,ილარიონ [ilarion],Vita David Garesdzensis,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 81-93",
Bubakr,ბუბაქრ [bubak ̓r],Vita David Garesdzensis,10th,,V,"Lang, D. M. Lives and Legends of the Georgian Saints. 2021, pp. 81-93",
Gregory the Illuminator,Գրիգոր [grigor],Mart_Grig.Hrips.Gayane,4th,,V,,"Saint, who survived the tourtures of Trdat and afterwards converted the Armenian king and people of his realm into Christianity. Also the first bishop of the Armenian church, ordained by Leontius of Caesaria. Accordic to the Arabic version of his martyrdom, he sent some bishops to the lands of Alans, Ivers and some other peoples of Caucasus and Near East, so he is shown not only as a baptist of Armenians"
Tiridates/Trdat III,Տրդատ [Trdat],Mart_Grig.Hrips.Gayane,4th,,V,,"The king of Armenia (287-330) that at first, being pagan, tortured Gregory the Illuminator, Hripsime with other nuns, but was punished for that with an illness that turned him into a wild boar. to get cured, he was to free Gregory, bury killed Hrpsime with nuns and convert himself into Christianity. After curing and convertion he took measures to destroy pagan temples and spread the Chrisitanity around in Armenia. Followed Gregory at his consecration as an archbishop in Caesaria, met Constantine the Great in Rome to tell him about the convertion of Armenia into Christianity"
Diocletian,Դիոկղետիանոս [diokłetianos],Mart_Grig.Hrips.Gayane,4th,,V,,"Roman emperor that was looking for a wife and learnt about Hripsime, a Roman nun. But Hripsime together with Gayane and other nuns escaped from the pagan emperor to Armenia, so Diocletian asked Trdat, the Armenian king, to send Hripsime to him and to kill other nuns"
Gayane,Գայիանէ [gayianē],Mart_Grig.Hrips.Gayane,4th,,V,,"The abbess of a Roman monastery, where Hripsime lived. She ran together with Hripsime (who was reluctant to marry pagans Diocletiian and Trdat) and other nuns from Rome to Armenia "
"Hripsime, Rhipsime",ՀռիփսիմԷ [hṙipʿsimē],Mart_Grig.Hrips.Gayane,4th,,V,,"Roman nun (from a family of believing kings) under the leadership of Gayane, that refused to marry pagan Diocletian and ran to Armenia together with Gayane and some other nuns, afterwards martyred by Trdat, whom she was also reluctant to marry"
Otay,Օտայ [otay],Mart_Grig.Hrips.Gayane,4th,,V,,Armenian noblemen who was sent to Artaat in order to get tortured Gregory the Illuminator out of the pit
